rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,targetDt
1,1,0,OLD,20233219,호프,2026-07-15,1023927630,58.5,-33631850,-3.2,39342391210,100147,-3256,-3.1,3619220,2108,7258,20260728
2,2,0,OLD,20261784,미니언즈 & 몬스터즈,2026-07-15,204457520,11.7,1676620,0.8,6153528100,22067,666,3.1,606430,806,1886,20260728
3,3,0,OLD,20259946,모아나,2026-07-08,148370140,8.5,2520850,1.7,10053999810,15557,508,3.4,939841,724,1441,20260728
4,4,0,OLD,20259781,토이 스토리 5,2026-06-17,119485840,6.8,7230740,6.4,29455092700,12498,977,8.5,2861138,536,884,20260728
5,5,0,OLD,20242402,눈동자,2026-06-24,67535250,3.9,-1162750,-1.7,15731696790,6533,-165,-2.5,1524845,525,881,20260728
6,6,0,OLD,20262902,다윗,2026-07-10,49701550,2.8,2560700,5.4,2254555580,5472,435,8.6,230860,315,388,20260728
7,7,0,OLD,20264665,드림 애니멀즈: 더무비,2026-07-24,28063810,1.6,-5460320,-16.3,280384250,3166,-575,-15.4,31311,323,414,20260728
8,8,0,NEW,20262770,스파이더맨: 브랜드 뉴 데이,2026-07-29,17586000,1.0,17586000,100,17586000,1254,1254,100,1254,3,5,20260728
9,9,0,OLD,20252402,군체,2026-05-21,9713100,0.6,1411500,17,62709465840,967,155,19.1,5951743,128,149,20260728
10,10,2,OLD,20262381,사랑의 하츄핑: 고래보석의 전설,2026-08-05,8649000,0.5,4149000,92.2,48689000,961,461,92.2,4951,5,5,20260728
